driver_name,Yarış,Galibiyet,Podyum,Puan,Ortalama_Pozisyon
Sebastian Vettel,119,14,55,1400.0,4.588785046728972
Charles Leclerc,128,8,43,1324.0,4.8558558558558556
Fernando Alonso,96,11,44,1190.0,4.134831460674158
Kimi Räikkönen,152,10,52,1080.0,5.255813953488372
Michael Schumacher,181,72,116,1066.0,2.546666666666667
Carlos Sainz,89,4,25,831.5,5.367088607594937
Felipe Massa,140,11,36,789.0,6.080645161290323
Rubens Barrichello,104,9,55,412.0,4.0476190476190474
Niki Lauda,58,15,32,242.5,2.9302325581395348
Gerhard Berger,96,5,24,182.0,4.5
