driver_name,Yarış,Galibiyet,Podyum,Puan,Ortalama_Pozisyon
Sebastian Vettel,119,14,55,1400.0,4.588785046728972
Charles Leclerc,128,8,43,1324.0,4.8558558558558556
Fernando Alonso,96,11,44,1190.0,4.134831460674158
Kimi Räikkönen,152,10,52,1080.0,5.255813953488372
Michael Schumacher,181,72,116,1066.0,2.546666666666667
Carlos Sainz,89,4,25,831.5,5.367088607594937
Felipe Massa,140,11,36,789.0,6.080645161290323
Rubens Barrichello,104,9,55,412.0,4.0476190476190474
Niki Lauda,58,15,32,242.5,2.9302325581395348
Gerhard Berger,96,5,24,182.0,4.5
Clay Regazzoni,73,4,23,169.0,4.96
Eddie Irvine,65,4,23,156.0,4.511111111111111
Alberto Ascari,27,13,17,139.0,2.1818181818181817
Michele Alboreto,80,3,19,138.5,5.2439024390243905
Jean Alesi,79,1,16,121.0,4.368421052631579
Jacky Ickx,56,6,16,121.0,4.606060606060606
Mike Hawthorn,35,3,16,113.64,3.5
Gilles Villeneuve,67,6,13,107.0,5.815789473684211
Alain Prost,31,5,14,107.0,2.65
Phil Hill,31,3,16,96.0,4.28
Carlos Reutemann,34,5,13,90.0,5.1923076923076925
John Surtees,30,4,13,88.0,2.9411764705882355
René Arnoux,32,3,11,79.0,4.625
Nino Farina,21,1,13,75.33,2.764705882352941
Nigel Mansell,31,3,11,75.0,4.333333333333333
Patrick Tambay,23,2,8,65.0,3.3333333333333335
Jody Scheckter,29,3,6,62.0,6.0
José Froilán González,15,2,11,56.64,3.0
Lorenzo Bandini,35,1,8,56.0,5.708333333333333
Wolfgang von Trips,26,2,6,56.0,4.5
Stefan Johansson,31,0,6,49.0,5.4
Didier Pironi,27,2,6,48.0,6.176470588235294
Peter Collins,20,3,9,47.0,2.75
Luigi Villoresi,21,0,8,43.0,4.0
Juan Fangio,7,3,5,34.5,2.875
Chris Amon,27,0,6,34.0,4.846153846153846
Maurice Trintignant,17,1,5,33.33,4.0
Piero Taruffi,14,1,4,32.0,4.3
Luigi Musso,15,1,5,32.0,3.5
Tony Brooks,7,2,4,27.0,3.2
Richie Ginther,10,0,4,24.0,5.555555555555555
Mario Andretti,13,1,2,20.0,5.428571428571429
Giancarlo Baghetti,8,1,1,14.0,5.0
Mike Parkes,6,0,2,14.0,3.0
Eugenio Castellotti,11,0,2,13.5,5.428571428571429
Dan Gurney,4,0,2,13.0,3.0
Ludovico Scarfiotti,9,1,1,11.0,5.5
Rudi Fischer,7,0,2,10.0,7.666666666666667
Mika Salo,6,0,2,10.0,6.6
Paul Frère,3,0,1,9.0,4.666666666666667
Cliff Allison,7,0,1,8.0,5.333333333333333
Olivier Gendebien,8,0,0,8.0,5.0
Arturo Merzario,11,0,0,7.0,8.88888888888889
Willy Mairesse,10,0,1,7.0,4.666666666666667
Oliver Bearman,1,0,0,6.0,7.0
Nicola Larini,4,0,1,6.0,8.333333333333334
Pedro Rodríguez,8,0,0,6.0,6.0
Ricardo Rodríguez,6,0,0,4.0,8.0
Alfonso de Portago,5,0,1,4.0,5.666666666666667
Peter Whitehead,9,0,1,4.0,7.25
Robert Manzon,6,0,1,4.0,6.0
Umberto Maglioli,6,0,2,3.33,6.0
Ivan Capelli,14,0,0,3.0,7.5
Dorino Serafini,1,0,1,3.0,2.0
Reg Parnell,2,0,0,3.0,4.0
Raymond Sommer,2,0,0,3.0,4.0
Ignazio Giunti,4,0,0,3.0,8.333333333333334
Jean Behra,3,0,0,2.0,5.0
Gianni Morbidelli,1,0,0,0.5,6.0
Piero Carini,3,0,0,0.0,
Giancarlo Fisichella,5,0,0,0.0,12.2
Andrea de Adamich,1,0,0,0.0,
Roger Laurent,1,0,0,0.0,6.0
Roy Salvadori,1,0,0,0.0,8.0
Rudolf Schoeller,1,0,0,0.0,
Alessandro de Tomaso,1,0,0,0.0,9.0
André Pilette,1,0,0,0.0,6.0
Nanni Galli,1,0,0,0.0,13.0
Peter Hirt,4,0,0,0.0,9.0
André Simon,2,0,0,0.0,6.0
Giorgio Scarlatti,2,0,0,0.0,
Hans von Stuck,1,0,0,0.0,
Harry Schell,2,0,0,0.0,
Franco Comotti,1,0,0,0.0,12.0
Jacques Swaters,5,0,0,0.0,7.5
Johnny Claes,1,0,0,0.0,11.0
Jonathan Williams,1,0,0,0.0,8.0
Derek Bell,2,0,0,0.0,
Clemente Biondetti,1,0,0,0.0,
Louis Rosier,15,0,0,0.0,9.625
Luca Badoer,2,0,0,0.0,15.5
Max de Terra,1,0,0,0.0,8.0
Chico Landi,1,0,0,0.0,
Charles de Tornaco,3,0,0,0.0,7.0
Cesare Perdisa,1,0,0,0.0,6.0
Bob Bondurant,1,0,0,0.0,9.0
Nino Vaccarella,1,0,0,0.0,12.0
Kurt Adolff,1,0,0,0.0,
