name_circuit,Yarış,Galibiyet,Podyum,Puan,Ortalama_Pozisyon
Autodromo Nazionale di Monza,74,20,75,808.5,4.295774647887324
Silverstone Circuit,58,15,48,583.78,5.33
Circuit de Spa-Francorchamps,57,14,42,522.5,4.517241379310345
Nürburgring,39,14,42,357.0,4.076923076923077
Circuit Gilles Villeneuve,43,11,34,466.0,3.9682539682539684
Hockenheimring,37,11,24,304.0,4.596153846153846
Circuit de Monaco,69,10,58,634.5,4.157407407407407
Albert Park Grand Prix Circuit,27,10,22,410.0,3.717948717948718
Autódromo José Carlos Pace,41,9,28,452.0,4.9714285714285715
Circuit de Barcelona-Catalunya,34,8,25,431.0,4.245283018867925
Circuit de Nevers Magny-Cours,18,8,20,158.0,3.642857142857143
Circuit Park Zandvoort,33,8,26,261.0,4.507936507936508
Autodromo Enzo e Dino Ferrari,31,8,25,254.0,3.909090909090909
Bahrain International Circuit,21,7,17,351.0,5.324324324324325
Sepang International Circuit,19,7,13,237.0,4.90625
Suzuka Circuit,34,7,22,372.0,4.428571428571429
Hungaroring,39,7,26,462.0,5.098360655737705
Indianapolis Motor Speedway,9,6,13,113.0,2.6666666666666665
Red Bull Ring,37,5,28,375.5,4.410714285714286
Reims-Gueux,11,5,14,99.0,4.384615384615385
Marina Bay Street Circuit,15,4,11,320.0,5.357142857142857
Kyalami,19,4,6,61.0,6.65
Shanghai International Circuit,17,4,13,281.0,5.161290322580645
Zolder,10,4,8,65.0,3.7333333333333334
Autódromo Juan y Oscar Gálvez,20,4,23,129.99,4.133333333333334
Watkins Glen,18,3,5,57.0,6.173913043478261
Autódromo Hermanos Rodríguez,23,3,14,261.0,4.419354838709677
Long Beach,8,3,7,51.0,2.125
Istanbul Park,9,3,8,121.0,4.9411764705882355
Circuit Paul Ricard,18,2,7,108.0,6.76
Brands Hatch,13,2,7,56.0,4.3125
Valencia Street Circuit,5,2,4,73.0,7.111111111111111
Rouen-Les-Essarts,4,2,6,42.0,5.75
Autódromo Internacional Nelson Piquet,10,2,4,41.0,4.363636363636363
Jarama,9,2,7,49.0,5.0
Autódromo do Estoril,13,2,7,60.0,4.117647058823529
Circuit Bremgarten,5,2,7,46.0,4.714285714285714
Circuit of the Americas,12,2,9,246.0,4.473684210526316
Circuito de Jerez,7,1,3,26.0,5.75
Circuit Mont-Tremblant,2,1,2,15.0,1.5
Zeltweg,1,1,1,9.0,1.0
Circuit de Pedralbes,2,1,2,17.0,2.3333333333333335
Aintree,4,1,5,32.0,3.4444444444444446
Scandinavian Raceway,6,1,4,23.0,5.125
AVUS,1,1,3,19.0,2.0
Adelaide Street Circuit,11,1,6,46.5,4.153846153846154
Korean International Circuit,4,1,3,95.0,4.625
Las Vegas Street Circuit,2,0,0,0.0,9.0
Autódromo Internacional do Algarve,2,0,0,21.0,7.75
Yas Marina Circuit,16,0,12,296.0,6.354838709677419
Fair Park,1,0,1,6.0,2.0
Donington Park,1,0,0,0.0,
Ain Diab,1,0,2,10.0,2.5
Sochi Autodrom,8,0,7,145.0,5.714285714285714
Dijon-Prenois,6,0,3,24.0,4.25
Autodromo Internazionale del Mugello,1,0,0,5.0,9.0
Charade Circuit,4,0,1,4.0,9.8
Sebring International Raceway,1,0,1,4.0,4.5
Jeddah Corniche Circuit,4,0,3,80.0,5.375
Circuito da Boavista,2,0,1,12.0,3.6666666666666665
Prince George Circuit,2,0,1,8.0,7.333333333333333
Las Vegas Strip Street Circuit,2,0,2,53.0,3.75
Phoenix street circuit,3,0,1,6.0,7.0
Pescara Circuit,1,0,0,0.0,
Okayama International Circuit,2,0,1,11.0,3.6666666666666665
Buddh International Circuit,3,0,2,53.0,5.2
Nivelles-Baulers,2,0,1,9.0,3.0
Mosport International Raceway,8,0,1,10.0,8.7
Montjuïc,4,0,1,6.0,7.0
Monsanto Park Circuit,1,0,1,4.0,6.0
Miami International Autodrome,3,0,3,74.0,4.166666666666667
Baku City Circuit,8,0,5,157.0,5.571428571428571
Losail International Circuit,3,0,1,46.0,5.6
Detroit Street Circuit,7,0,3,20.0,3.2
Le Mans,1,0,0,0.0,
Fuji Speedway,4,0,3,25.0,4.333333333333333
