year,driver_name,Yarış,Puan,Galibiyet,Podyum
1950,Alberto Ascari,4,11.0,0,2
1950,Clemente Biondetti,1,0.0,0,0
1950,Dorino Serafini,1,3.0,0,1
1950,Luigi Villoresi,3,0.0,0,0
1950,Peter Whitehead,3,4.0,0,1
1950,Raymond Sommer,2,3.0,0,0
1951,Alberto Ascari,7,28.0,2,4
1951,Chico Landi,1,0.0,0,0
1951,José Froilán González,5,27.0,1,5
1951,Luigi Villoresi,7,18.0,0,3
1951,Peter Whitehead,4,0.0,0,0
1951,Piero Taruffi,5,10.0,0,1
1951,Reg Parnell,1,3.0,0,0
1951,Rudi Fischer,2,0.0,0,0
1952,Alberto Ascari,7,53.5,6,6
1952,André Simon,2,0.0,0,0
1952,Charles de Tornaco,3,0.0,0,0
1952,Franco Comotti,1,0.0,0,0
1952,Hans von Stuck,1,0.0,0,0
1952,Louis Rosier,4,0.0,0,0
1952,Luigi Villoresi,2,8.0,0,2
1952,Nino Farina,7,27.0,0,4
1952,Peter Hirt,3,0.0,0,0
1952,Peter Whitehead,2,0.0,0,0
1952,Piero Carini,2,0.0,0,0
1952,Piero Taruffi,6,22.0,1,3
1952,Roger Laurent,1,0.0,0,0
1952,Roy Salvadori,1,0.0,0,0
1952,Rudi Fischer,5,10.0,0,2
1952,Rudolf Schoeller,1,0.0,0,0
1953,Alberto Ascari,8,46.5,5,5
1953,Jacques Swaters,2,0.0,0,0
1953,Kurt Adolff,1,0.0,0,0
1953,Louis Rosier,7,0.0,0,0
1953,Luigi Villoresi,8,17.0,0,3
1953,Max de Terra,1,0.0,0,0
1953,Mike Hawthorn,8,27.0,1,3
1953,Nino Farina,8,32.0,1,5
1953,Peter Hirt,1,0.0,0,0
1953,Piero Carini,1,0.0,0,0
1953,Umberto Maglioli,1,0.0,0,0
1954,Alberto Ascari,1,0.0,0,0
1954,Jacques Swaters,3,0.0,0,0
1954,José Froilán González,7,26.64,1,5
1954,Louis Rosier,4,0.0,0,0
1954,Maurice Trintignant,8,17.0,0,2
1954,Mike Hawthorn,8,24.64,1,4
1954,Nino Farina,2,6.0,0,1
1954,Piero Taruffi,1,0.0,0,0
1954,Reg Parnell,1,0.0,0,0
1954,Robert Manzon,6,4.0,0,1
1954,Umberto Maglioli,3,2.0,0,1
1955,Eugenio Castellotti,3,6.0,0,1
1955,Harry Schell,2,0.0,0,0
1955,Johnny Claes,1,0.0,0,0
1955,José Froilán González,1,2.0,0,1
1955,Luigi Villoresi,1,0.0,0,0
1955,Maurice Trintignant,6,11.33,1,3
1955,Mike Hawthorn,3,0.0,0,0
1955,Nino Farina,4,10.33,0,3
1955,Paul Frère,2,3.0,0,0
1955,Piero Taruffi,2,0.0,0,0
1955,Umberto Maglioli,2,1.33,0,1
1956,Alfonso de Portago,4,3.0,0,1
1956,André Pilette,1,0.0,0,0
1956,Eugenio Castellotti,7,7.5,0,1
1956,Giorgio Scarlatti,2,0.0,0,0
1956,Juan Fangio,7,34.5,3,5
1956,Luigi Musso,4,4.0,1,1
1956,Olivier Gendebien,2,2.0,0,0
1956,Paul Frère,1,6.0,0,1
1956,Peter Collins,7,25.0,2,5
1956,Wolfgang von Trips,1,0.0,0,0
1957,Alessandro de Tomaso,1,0.0,0,0
1957,Alfonso de Portago,1,1.0,0,0
1957,Cesare Perdisa,1,0.0,0,0
1957,Eugenio Castellotti,1,0.0,0,0
1957,José Froilán González,1,1.0,0,0
1957,Luigi Musso,6,16.0,0,2
1957,Maurice Trintignant,3,5.0,0,0
1957,Mike Hawthorn,6,13.0,0,2
1957,Peter Collins,6,8.0,0,2
1957,Wolfgang von Trips,3,4.0,0,1
1958,Luigi Musso,5,12.0,0,2
1958,Mike Hawthorn,10,49.0,1,7
1958,Olivier Gendebien,3,0.0,0,0
1958,Peter Collins,7,14.0,1,2
1958,Phil Hill,3,9.0,0,2
1958,Wolfgang von Trips,6,9.0,0,1
1959,Cliff Allison,5,2.0,0,0
1959,Dan Gurney,4,13.0,0,2
1959,Jean Behra,3,2.0,0,0
1959,Olivier Gendebien,2,3.0,0,0
1959,Phil Hill,7,20.0,0,3
1959,Tony Brooks,7,27.0,2,4
1959,Wolfgang von Trips,1,0.0,0,0
1960,Cliff Allison,2,6.0,0,1
1960,José Froilán González,1,0.0,0,0
1960,Phil Hill,8,15.0,1,2
1960,Richie Ginther,3,8.0,0,1
1960,Willy Mairesse,3,4.0,0,1
1960,Wolfgang von Trips,8,10.0,0,0
1961,Giancarlo Baghetti,3,9.0,1,1
1961,Olivier Gendebien,1,3.0,0,0
